id.exposure	id.outcome	exposure	outcome	snp_r2.exposure	snp_r2.outcome	correct_causal_direction	steiger_pval
1my0Wq	ieu-b-4957	18916_25_ITPA_Inosine_triphosphatase	ieu-b-4957	0.360128478677932	0.000228680752223415	TRUE	NA
1Yp0oh	ieu-b-4957	12786_61_GPCPD1_GDE5	ieu-b-4957	0.00234822363372089	1.06844757837759e-05	TRUE	NA
27tqB5	ieu-b-4957	16773_29_SCUBE3_SCUB3	ieu-b-4957	0.017852508716659	3.31124411158649e-06	TRUE	NA
28NwGl	ieu-b-4957	3290_50_CD109_CD109	ieu-b-4957	0.214443749379443	1.13947102839619e-06	TRUE	NA
29lDgO	ieu-b-4957	19446_1_GMPR2_GMPR2	ieu-b-4957	0.0269847400820693	5.45186535263141e-05	TRUE	NA
2B39gD	ieu-b-4957	3004_67_PDCD1LG2_PD_L2	ieu-b-4957	0.0676082362542104	2.57935825243202e-06	TRUE	NA
2cwrhL	ieu-b-4957	5632_6_CRTAC1_CRAC1	ieu-b-4957	0.0903457689006658	0.000937622545862014	TRUE	NA
2gjet8	ieu-b-4957	15435_4_PNP_PNP	ieu-b-4957	0.00806781372521457	0.000168646739164818	TRUE	NA
2GWidL	ieu-b-4957	2890_59_CCL28_CCL28	ieu-b-4957	0.00147960536235152	1.04328026582389e-05	TRUE	NA
2HBGn5	ieu-b-4957	5085_18_IL20RA_IL_20_Ra	ieu-b-4957	0.00155544773629233	9.83907558231026e-07	TRUE	NA
2Jilen	ieu-b-4957	18878_15_GREM1_GREM1	ieu-b-4957	0.225343058384776	5.54999114060637e-05	TRUE	NA
2NQSr7	ieu-b-4957	9263_57_SIAE_SIAE	ieu-b-4957	0.0064251926865531	2.32355688446934e-05	TRUE	NA
2oe5ev	ieu-b-4957	12573_80_TRIM3_TRIM3	ieu-b-4957	0.00562294933391483	6.92587566283089e-05	TRUE	NA
2PT9VX	ieu-b-4957	12637_7_CRAT_CACP	ieu-b-4957	0.00359564875799496	1.79386776519432e-05	TRUE	NA
2RNT54	ieu-b-4957	10737_96_SERPINB1_Serpin_B1	ieu-b-4957	0.0030403460736602	5.30454109594937e-05	TRUE	NA
2si4LL	ieu-b-4957	3580_25_SERPINA1_a1_Antitrypsin	ieu-b-4957	0.0994339316818319	0.000380852597007225	TRUE	NA
2TOQru	ieu-b-4957	8356_88_OXT_NEU1	ieu-b-4957	0.0816902245639918	0.000320847454350477	TRUE	NA
2wET1F	ieu-b-4957	10561_5_PGLYRP3_PGRP_I_alpha	ieu-b-4957	0.00127812321627346	0.000823395511755631	TRUE	NA
35OQJ4	ieu-b-4957	19113_66_SH3BGRL2_SH3L2	ieu-b-4957	0.00496272846046737	2.59822027787592e-05	TRUE	NA
3EhaJw	ieu-b-4957	15322_35_CRADD_CRADD	ieu-b-4957	0.00137539119870985	0.000130093407360301	TRUE	NA
3eul20	ieu-b-4957	9884_8_PPIL1_PPIL1	ieu-b-4957	0.181813784853626	0.000323538518815764	TRUE	NA
3HEBWo	ieu-b-4957	6049_64_PTPRS_PTPRS	ieu-b-4957	0.00471086324102388	0.000268303353400546	TRUE	NA
3N77Ok	ieu-b-4957	3719_2_CDKN1B_p27Kip1	ieu-b-4957	0.00268932079626524	1.25094665165877e-05	TRUE	NA
